engine,clip,buffer_s,decode_ms
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,4.32,335
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,4.66,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,0.48,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,1.44,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,1.92,272
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,2.4,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,2.88,300
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,3.36,301
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,3.85,306
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,4.33,307
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,4.8,317
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,5.28,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,5.76,349
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,6.25,353
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,6.72,348
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,7.2,360
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,7.68,372
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,8.16,387
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,8.64,391
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,9.04,388
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,0.48,332
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,0.96,280
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,1.44,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,1.92,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,2.4,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,2.88,295
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,3.37,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,3.85,327
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,4.32,334
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,4.8,339
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,5.14,339
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,0.48,307
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,0.96,280
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,1.45,285
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,1.93,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,2.4,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,2.88,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,3.37,321
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,3.84,335
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,4.33,345
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,4.8,345
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,5.29,368
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,5.65,361
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,0.48,313
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,1.45,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,1.92,281
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,2.4,287
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,2.88,301
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,3.36,310
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,3.85,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,4.33,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,4.8,322
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,5.28,342
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,5.76,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,6.25,366
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,6.72,365
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,0.48,317
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,1.44,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,1.92,285
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,2.4,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,2.88,310
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,3.37,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,3.84,323
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,4.32,338
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,4.8,334
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,5.28,361
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,5.64,363
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,0.48,322
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,0.96,283
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,1.44,288
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,1.93,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,2.4,312
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,2.88,319
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,3.37,341
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,3.84,338
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,4.33,352
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,4.8,350
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,5.16,415
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,0.48,320
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,0.96,269
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,1.45,275
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,1.92,269
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,2.4,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,2.88,297
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,3.37,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,3.85,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,4.33,308
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,4.8,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,5.29,356
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,5.76,354
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,6.24,370
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,6.72,372
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,7.2,369
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,7.57,380
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,0.48,331
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,0.96,277
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,1.45,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,1.92,288
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,2.4,298
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,2.88,287
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,3.37,321
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,3.84,321
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,4.33,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,4.8,327
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,0.48,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,0.96,268
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,1.44,272
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,1.92,281
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,2.4,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,2.88,294
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,3.37,315
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,3.85,325
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,4.32,333
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,4.8,336
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,5.29,365
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,5.76,353
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h12,6.19,367
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,0.48,306
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,0.96,282
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,1.44,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,1.93,295
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,2.4,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,2.88,304
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,3.36,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,3.85,335
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,4.32,343
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,4.8,341
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h13,5.17,358
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,0.48,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,0.96,275
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,1.44,297
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,1.93,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,2.4,283
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,2.88,294
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,3.36,319
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,3.85,324
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,4.33,329
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,4.8,332
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h14,5.13,373
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,0.48,293
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,1.45,276
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,1.92,278
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,2.4,287
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,2.88,287
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,3.37,310
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,3.85,326
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,4.32,331
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,4.8,358
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,5.29,358
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h15,5.74,373
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,0.48,308
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,0.96,274
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,1.45,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,1.92,291
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,2.4,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,2.88,300
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,3.37,309
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,3.85,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,4.32,336
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,4.8,355
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,5.28,361
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,5.76,374
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h16,6.14,367
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,0.48,305
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,0.96,274
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,1.45,276
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,1.93,282
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,2.4,298
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,2.88,317
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,3.37,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,3.85,335
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,4.33,322
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,4.8,329
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,5.29,360
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,5.76,361
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,6.24,369
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,6.72,370
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h17,7.09,443
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,0.96,320
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,1.44,300
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,1.92,330
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,2.4,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,2.88,340
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,3.36,351
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,3.84,362
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,4.33,373
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h18,4.7,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,0.48,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,0.96,275
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,1.45,278
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,1.92,275
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,2.4,281
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,2.88,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,3.36,304
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,3.84,331
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,4.33,331
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,4.8,354
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,5.28,370
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h19,5.65,359
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,0.48,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,0.96,281
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,1.45,283
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,1.92,309
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,2.4,312
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,2.88,323
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,3.36,337
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,3.84,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,4.32,353
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,4.8,368
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h20,5.17,383
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,0.96,288
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,1.45,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,1.93,324
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,2.4,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,2.88,351
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,3.37,349
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t01,3.71,365
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t02,0.48,304
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t02,0.96,276
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t02,1.44,308
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t02,1.92,315
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t02,2.4,343
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t02,2.75,326
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t03,0.96,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t03,1.44,308
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t03,1.92,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t03,2.4,304
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t03,2.76,296
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,0.48,293
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,0.96,278
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,1.45,291
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,1.93,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,2.4,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,2.88,312
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t04,3.2,339
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,0.48,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,0.96,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,1.44,295
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,1.92,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,2.4,309
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,2.88,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",t05,3.32,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,0.48,298
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,0.96,277
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,1.45,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,1.93,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,2.4,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,2.88,331
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,3.37,351
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,3.84,360
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e01,4.23,368
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,0.48,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,0.96,285
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,1.44,290
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,1.93,303
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,2.4,325
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,2.88,341
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,3.36,350
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,3.84,350
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,4.32,357
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e02,4.68,351
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,0.48,307
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,0.96,282
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,1.44,297
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,1.92,313
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,2.4,332
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,2.88,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,3.36,357
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,3.85,348
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e03,4.31,367
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,0.48,309
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,0.96,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,1.44,283
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,1.93,296
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,2.4,305
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,2.88,326
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,3.37,321
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e04,3.8,326
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,0.48,300
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,0.96,278
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,1.45,293
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,1.93,308
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,2.4,324
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,2.88,356
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,3.37,369
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,3.84,388
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,4.33,397
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e05,4.73,397
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,0.48,315
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,0.96,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,1.44,297
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,1.92,312
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,2.4,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,2.88,348
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,3.37,349
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,3.84,370
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e06,4.31,368
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,0.48,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,0.96,278
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,1.44,291
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,1.93,304
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,2.4,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,2.88,341
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,3.36,350
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,3.84,347
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e07,4.28,357
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,0.96,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,1.44,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,1.92,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,2.4,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,2.88,324
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,3.36,339
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,3.84,355
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,4.32,375
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,4.8,391
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,5.29,402
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e08,5.69,399
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,0.48,324
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,0.96,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,1.44,301
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,1.93,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,2.4,313
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,2.88,341
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,3.37,367
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,3.85,390
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,4.33,388
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e09,4.71,391
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",e10,0.96,280
